item,,title,author,pubdate,volume,ecco_vol,num_matches_top_1000,first_match
1,,"The new complete dictionary of arts and sciences; or, an universal system of useful knowledge. Containing A full Explanation of every Art and Science, whether liberal or mechanical, in which the Difficulties attending a thorough Knowledge of them are clearly pointed out, and such Directions given as cannot fail of making their Acquisition easy and familiar to every Capacity Exhibiting, among the various other Branches of Literature, a copious Elucidation of the following, viz. Agriculture, Algebra, Anatomy, Architecture, Arithmetick, Astronomy, Book-Keeping, Botany, Carving, Catoptricks, Chemistry, Chronology, Commerce, Conicks, Cosmography, Dialing, Dioptricks, Ethicks, Farriery, Fluxions, Fortification, Gardening, Guaging, Geography, Geometry, Grammar, Gunnery, Handicrafts, Heraldry,",Erasmus Middleton,1788,1,0513600201,0,NA
2,,"A general dictionary, historical and critical: in which a new and accurate translation of that of the Celebrated Mr. Bayle, with the corrections and observations printed in the late edition at Paris, is included; and interspersed with several thousand lives never before published. The whole containing the History of the most illustrious Persons of all Ages and Nations, particularly those of Great Britain and Ireland, distinguished by their Rank, Actions, Learning and other Accomplishments. With reflections on such passages of Mr. Bayle, as seem to favour scepticism and the Manichee System. By the Reverend Mr. John Peter Bernard; the Reverend Mr. Thomas Birch; Mr. John Lockman; and other hands. And the articles relating to Oriental history by George Sale, Gent. Volume I",Pierre Bayle,1734,4,0825700104,0,NA
3,,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti",NA,1778,9,0688600701,0,3330
4,,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti",NA,1778,1,0689400109,0,NA
5,,The pursuits of literature. A satirical poem in four dialogues. With notes,Thomas James Mathias,1798,NA,0356400100,0,4337
6,,"Origines sacræ: or, a rational account of the grounds of natural and reveal'd religion. The eighth edition. To which is now added part of another book upon the same subject, Written A. D. MDCXCVII. Publish'd from the Author's Own Manuscript. The second volume. By the Right Reverend Father in God, Edward Stillingfleet, D. D. Late Lord Bishop of Worcester",Edward Stillingfleet,1709,2,0452500102,0,NA
7,,"The theological works of the most pious and learned Henry More, D. D. Sometime Fellow of Christ's College in Cambridge. Containing An Explanation of the Grand Mystery of Godliness. An Enquiry into the Mystery of Iniquity. In Two Parts. A Prophetical Exposition of the Epistles to the Seven Churches in Asia. A Discourse of the Grounds of Faith in Points of Religion. An Antidote against Idolatry. An Appendix to the Antidroe against Idolatry. To which are adjoin'd, Some Divine Hymns. According to the author's improvements in his Latin edition",Henry More,1708,NA,0742300100,0,NA
8,,"An historical and critical dictionary. By Monsieur Bayle. Translated into English, with many additions and corrections, made by the author himself, that are not in the French editions. ... . A-B",Pierre Bayle,1710,2,0740600102,0,NA
9,,"The works of the Right Reverend William Warburton, Lord Bishop of Gloucester. In seven volumes. ...",William Warburton,1788,4,1165800104,0,1439
10,,"Cyclopædia: or, an universal dictionary of arts and sciences; ... By E. Chambers, F.R.S. The third edition corrected and amended; with some additions. In two volumes. ...",Ephraim Chambers,1740,1,0852000101,0,NA
11,,"An universal etymological English dictionary; comprehending the derivations of the generality of words in the English tongue, either ancient or modern, ... And also a brief and clear explication",Nathan Bailey,1790,NA,1542700200,0,NA
12,,"A new Latin-English dictionary: containing all the words proper for reading the classic writers; with the Authorities subjoined to each Word and Phrase. To which is prefixed, a new English-L",William Young,1769,NA,1031500200,0,NA
13,,"The new universal etymological English dictionary: Containing An Additional Collection of Words, with their Explications and Etymologies from the Ancient British, Teutonick, Dutch,",Nathan Bailey,1776,NA,1185700200,0,1830
14,,"Biographia Britannica: or, the lives of the most eminent persons who have flourished in Great Britain and Ireland, from the earliest ages, down",NA,1747,5,1117300105,0,NA
15,,"The new royal encyclopædia; or, complete modern dictionary of arts and sciences, on an improved plan. Containing a new, universal, accurate, and copious display of the whole",William Henry Hall,1788,2,0619300102,0,NA
16,,"A critical pronouncing dictionary and expositor of the English language. in which Not only the Meaning of every Word is clearly explained, and",John Walker,1794,NA,1234300300,0,NA
17,,"Cyclopædia: or, an universal dictionary of arts and sciences; Containing The Definitions of the Terms, And Accounts of The Things signify'd",Ephraim Chambers,1728,2,0489500102,0,NA
18,,"The new universal etymological English dictionary: Containing An Additional Collection of Words, with their Explications and Etymologies",Nathan Bailey,1775,NA,1185600200,1,918
19,,"The royal English dictionary: or, a treasury of the English language. Containing, I. A Full Explanation of all the Terms made Use of In Algebra, Anatomy, Architecture, Arithmetic,",Daniel Fenning,1763,NA,0191500300,0,NA
20,,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by",Samuel Johnson,1777,1,1021400101,0,NA
21,,"Cyclopædia: or, an universal dictionary of arts and sciences. ... By E. Chambers, F.R.S. With the supplement, and modern improvements, incorporated in one alphabet. By Abraham Rees,",Ephraim Chambers and Abraham Rees,1778-1788,2,0993700102,0,NA
22,,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers. ... By S",Samuel Johnson,1785,2,0254900101,0,NA
23,,A complete and universal English dictionary on a new plan : including not only I. A full explanation of difficult words and technical terms ... II. A,James Barclay,1782,NA,0857200100,0,NA
24,,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by",Samuel Johnson,1755-56,1,0289500101,0,NA
25,,"Thesaurus linguæ latinæ compendiarius: or, a compendious dictionary of the Latin tongue: designed for the use of the British nations: in three parts. Containing, I. The English",Robert Ainsworth,1746,1,0438700102,0,NA